Time,Symbol,Message
04/07/2017 09:52:45,UNIS,$UNIS reached a new low of $0.2936
04/07/2017 09:52:36,CPRX,$CPRX reached a new low of $1.73
04/07/2017 09:52:36,NR,$NR reached a new low of $8
04/07/2017 09:52:27,ATHX,$ATHX reached a new low of $1.499
04/07/2017 09:52:27,OCN,$OCN reached a new low of $5.34
04/07/2017 09:52:24,CLD,$CLD reached a new low of $4.8
04/07/2017 09:52:24,RAS,$RAS reached a new low of $3.195
04/07/2017 09:52:21,ENT,$ENT reached a new low of $3.27
04/07/2017 09:52:21,FAC,$FAC reached a new low of $1.18
04/07/2017 09:52:21,TRVN,$TRVN reached a new low of $3.33
04/07/2017 09:52:15,CYTX,$CYTX reached a new low of $1.4
04/07/2017 09:51:57,ARLZ,$ARLZ reached a new low of $1.601
04/07/2017 09:51:51,NQ,$NQ reached a new low of $3.9366
04/07/2017 09:51:39,ZX,$ZX reached a new low of $1.69
04/07/2017 09:51:36,VRAY,$VRAY reached a new low of $7.8999
04/07/2017 09:51:30,DRNA,$DRNA reached a new low of $3.3
04/07/2017 09:51:21,NM,$NM reached a new low of $1.94
04/07/2017 09:51:15,VKTX,$VKTX reached a new low of $1.4299
04/07/2017 09:51:12,EXG,$EXG reached a new low of $8.6501
04/07/2017 09:50:42,ATEC,$ATEC reached a new low of $2.1991
04/07/2017 09:50:39,FCEL,$FCEL reached a new low of $1.55
04/07/2017 09:50:30,CLNT,$CLNT reached a new low of $8.69
04/07/2017 09:50:21,AXAS,$AXAS reached a new low of $2.2508
04/07/2017 09:50:21,DRYS,$DRYS reached a new low of $0.7521
04/07/2017 09:49:51,INFI,$INFI reached a new low of $2.39
04/07/2017 09:49:51,SDLP,$SDLP reached a new low of $2.92
04/07/2017 09:49:09,DHT,$DHT reached a new low of $4.4925
04/07/2017 09:49:09,ZX,$ZX reached a new low of $1.6798
04/07/2017 09:49:06,RIC,$RIC reached a new low of $7.9
04/07/2017 09:48:30,GNC,$GNC reached a new low of $6.615
04/07/2017 09:48:24,GALT,$GALT reached a new low of $2.68
04/07/2017 09:48:24,JMEI,$JMEI reached a new low of $3.49
04/07/2017 09:48:21,AUPH,$AUPH reached a new low of $7.03
04/07/2017 09:48:21,FH,$FH reached a new low of $1.87
04/07/2017 09:48:06,TNDM,$TNDM reached a new low of $1.05
04/07/2017 09:47:42,ARLZ,$ARLZ reached a new low of $1.605
04/07/2017 09:47:15,CLNT,$CLNT reached a new low of $8.57
04/07/2017 09:47:06,DRYS,$DRYS reached a new low of $0.754
04/07/2017 09:46:54,EGY,$EGY reached a new low of $0.92
04/07/2017 09:46:45,DSE,$DSE reached a new low of $7.9346
04/07/2017 09:46:36,VRAY,$VRAY reached a new low of $7.8405
04/07/2017 09:46:09,FCEL,$FCEL reached a new low of $1.55
04/07/2017 09:46:06,INFI,$INFI reached a new low of $2.41
04/07/2017 09:45:36,XGTI,$XGTI reached a new low of $1.479
04/07/2017 09:45:27,GLBS,$GLBS reached a new low of $3.62
04/07/2017 09:45:06,CCCR,$CCCR reached a new low of $1.8918
04/07/2017 09:44:42,AGC,$AGC reached a new low of $6.0801
04/07/2017 09:44:39,NNA,$NNA reached a new low of $1.66
04/07/2017 09:44:12,GNMX,$GNMX reached a new low of $1.65
04/07/2017 09:44:09,GALT,$GALT reached a new low of $2.63
04/07/2017 09:44:06,DRYS,$DRYS reached a new low of $0.7561
04/07/2017 09:43:45,GNC,$GNC reached a new low of $6.615
04/07/2017 09:43:42,NVCR,$NVCR reached a new low of $11.05
04/07/2017 09:43:30,CLNT,$CLNT reached a new low of $8.42
04/07/2017 09:43:21,PQ,$PQ reached a new low of $2.69
04/07/2017 09:43:12,AXSM,$AXSM reached a new low of $3.75
04/07/2017 09:42:57,APPS,$APPS reached a new low of $0.9425
04/07/2017 09:42:57,WHLR,$WHLR reached a new low of $12.9035
04/07/2017 09:42:42,CLMT,$CLMT reached a new low of $3.6948
04/07/2017 09:42:27,AFMD,$AFMD reached a new low of $2.325
04/07/2017 09:42:21,QHC,$QHC reached a new low of $4.92
04/07/2017 09:42:15,MVIS,$MVIS reached a new low of $2.285
04/07/2017 09:42:06,INFI,$INFI reached a new low of $2.44
04/07/2017 09:41:45,DX,$DX reached a new low of $6.9
04/07/2017 09:41:42,RT,$RT reached a new low of $2.51
04/07/2017 09:41:36,CCCR,$CCCR reached a new low of $1.93
04/07/2017 09:41:36,TNDM,$TNDM reached a new low of $1.05
04/07/2017 09:41:27,GLUU,$GLUU reached a new low of $2.3
04/07/2017 09:40:57,AEZS,$AEZS reached a new low of $2.9
04/07/2017 09:40:57,BV,$BV reached a new low of $4.25
04/07/2017 09:40:57,EXG,$EXG reached a new low of $8.66
04/07/2017 09:40:45,DELT,$DELT reached a new low of $1.7
04/07/2017 09:40:24,PULM,$PULM reached a new low of $2.95
04/07/2017 09:40:15,CLNT,$CLNT reached a new low of $8.172
04/07/2017 09:40:15,LEE,$LEE reached a new low of $2.55
04/07/2017 09:40:15,UNIS,$UNIS reached a new low of $0.2949
04/07/2017 09:40:12,BCRX,$BCRX reached a new low of $7.15
04/07/2017 09:40:12,FATE,$FATE reached a new low of $4.03
04/07/2017 09:40:06,DRYS,$DRYS reached a new low of $0.7561
04/07/2017 09:40:00,QUIK,$QUIK reached a new low of $1.655
04/07/2017 09:39:57,APVO,$APVO reached a new low of $1.85
04/07/2017 09:39:45,GNC,$GNC reached a new low of $6.608
04/07/2017 09:39:42,SSI,$SSI reached a new low of $2.495
04/07/2017 09:39:15,NVCN,$NVCN reached a new low of $1.67
04/07/2017 09:39:12,SB,$SB reached a new low of $2.46
04/07/2017 09:38:36,CCCR,$CCCR reached a new low of $2.11
04/07/2017 09:38:21,APTO,$APTO reached a new low of $0.9961
04/07/2017 09:38:15,DELT,$DELT reached a new low of $1.71
04/07/2017 09:38:15,DRNA,$DRNA reached a new low of $3.3
04/07/2017 09:38:06,KTOS,$KTOS reached a new low of $7.9
04/07/2017 09:37:57,CVEO,$CVEO reached a new low of $3.08
04/07/2017 09:37:54,EVRI,$EVRI reached a new low of $4.82
04/07/2017 09:37:51,DSX,$DSX reached a new low of $5.91
04/07/2017 09:37:21,ALIM,$ALIM reached a new low of $1.44
04/07/2017 09:37:21,AUPH,$AUPH reached a new low of $7.045
04/07/2017 09:37:12,CCCL,$CCCL reached a new low of $2.33
04/07/2017 09:37:06,CLNE,$CLNE reached a new low of $2.54
04/07/2017 09:37:00,QUIK,$QUIK reached a new low of $1.655
04/07/2017 09:36:54,ZSAN,$ZSAN reached a new low of $1.58
04/07/2017 09:36:45,CLNT,$CLNT reached a new low of $8.46
04/07/2017 09:36:42,RT,$RT reached a new low of $2.515
04/07/2017 09:36:30,GNC,$GNC reached a new low of $6.62
04/07/2017 09:36:12,AREX,$AREX reached a new low of $2.57
04/07/2017 09:35:36,DRYS,$DRYS reached a new low of $0.7542
04/07/2017 09:35:36,AXAS,$AXAS reached a new low of $2.259
04/07/2017 09:35:15,DRD,$DRD reached a new low of $5.02
04/07/2017 09:35:15,LEO,$LEO reached a new low of $8.76
04/07/2017 09:35:15,OPHT,$OPHT reached a new low of $3.0894
04/07/2017 09:35:09,BDSI,$BDSI reached a new low of $1.8
04/07/2017 09:34:51,BGY,$BGY reached a new low of $5.851
04/07/2017 09:34:45,VKTX,$VKTX reached a new low of $1.3998
04/07/2017 09:34:42,RGLS,$RGLS reached a new low of $1.475
04/07/2017 09:34:27,CROX,$CROX reached a new low of $6.51
04/07/2017 09:34:12,ATHX,$ATHX reached a new low of $1.5
04/07/2017 09:34:12,VVUS,$VVUS reached a new low of $1.04
04/07/2017 09:34:06,CCCR,$CCCR reached a new low of $2.07
04/07/2017 09:33:36,AUPH,$AUPH reached a new low of $7.06
04/07/2017 09:33:30,MVIS,$MVIS reached a new low of $2.28
04/07/2017 09:33:24,DHT,$DHT reached a new low of $4.495
04/07/2017 09:33:15,CLNT,$CLNT reached a new low of $8.46
04/07/2017 09:33:12,ADAP,$ADAP reached a new low of $5.6673
04/07/2017 09:33:12,OCN,$OCN reached a new low of $5.35
04/07/2017 09:33:06,MCR,$MCR reached a new low of $8.63
04/07/2017 09:32:42,BCRX,$BCRX reached a new low of $7.16
04/07/2017 09:32:42,CCCL,$CCCL reached a new low of $2.38
04/07/2017 09:32:24,PULM,$PULM reached a new low of $2.9464
04/07/2017 09:32:21,DRYS,$DRYS reached a new low of $0.7582
04/07/2017 09:31:51,DSX,$DSX reached a new low of $5.915
04/07/2017 09:31:45,STDY,$STDY reached a new low of $7.1
04/07/2017 09:31:30,SMTX,$SMTX reached a new low of $1.25
04/07/2017 09:31:09,EVRI,$EVRI reached a new low of $4.82
04/07/2017 09:31:06,XCRA,$XCRA reached a new low of $8.9508
04/07/2017 09:30:54,PER,$PER reached a new low of $3.075
04/07/2017 09:30:45,GNC,$GNC reached a new low of $6.601
04/07/2017 09:30:45,LEE,$LEE reached a new low of $2.55
04/07/2017 09:30:36,GLBL,$GLBL reached a new low of $4.7125
04/07/2017 09:30:30,DELT,$DELT reached a new low of $1.69
04/07/2017 09:30:30,ENPH,$ENPH reached a new low of $1.35
04/07/2017 09:30:21,IGD,$IGD reached a new low of $7.2735
04/07/2017 09:30:00,ECR,$ECR reached a new low of $2.5
04/07/2017 09:30:00,RCON,$RCON reached a new low of $1.46
04/07/2017 09:29:45,NYMX,$NYMX reached a new low of $4.3
04/07/2017 09:29:42,RUBI,$RUBI reached a new low of $5.765
04/07/2017 09:29:39,ZSAN,$ZSAN reached a new low of $1.56
04/07/2017 09:29:36,CCCR,$CCCR reached a new low of $2.04
04/07/2017 09:29:36,CREG,$CREG reached a new low of $1.65
04/07/2017 09:29:27,CROX,$CROX reached a new low of $6.47
04/07/2017 09:29:27,GLUU,$GLUU reached a new low of $2.3
04/07/2017 09:29:15,CLNT,$CLNT reached a new low of $8.45
04/07/2017 09:29:06,DRYS,$DRYS reached a new low of $0.7601
04/07/2017 09:29:00,FENX,$FENX reached a new low of $1.42
04/07/2017 09:28:57,BCRX,$BCRX reached a new low of $7.175
04/07/2017 09:28:54,SQNS,$SQNS reached a new low of $2.76
04/07/2017 09:28:27,SB,$SB reached a new low of $2.47
04/07/2017 09:28:12,BBRG,$BBRG reached a new low of $5.1
04/07/2017 09:28:06,AUPH,$AUPH reached a new low of $7.03
04/07/2017 09:28:00,CBK,$CBK reached a new low of $1.3075
04/07/2017 09:27:51,DSX,$DSX reached a new low of $5.9037
04/07/2017 09:27:45,PES,$PES reached a new low of $3.95
04/07/2017 09:27:42,MBRX,$MBRX reached a new low of $0.821
04/07/2017 09:27:42,MEET,$MEET reached a new low of $5.64
04/07/2017 09:27:42,OCN,$OCN reached a new low of $5.34
04/07/2017 09:27:30,DELT,$DELT reached a new low of $1.7118
04/07/2017 09:27:21,AXAS,$AXAS reached a new low of $2.2546
04/07/2017 09:27:00,CTSO,$CTSO reached a new low of $4.65
04/07/2017 09:26:45,GNC,$GNC reached a new low of $6.615
04/07/2017 09:26:36,CIA,$CIA reached a new low of $6.945
04/07/2017 09:26:27,GLUU,$GLUU reached a new low of $2.295
04/07/2017 09:26:15,SSH,$SSH reached a new low of $1.83
04/07/2017 09:26:15,VKTX,$VKTX reached a new low of $1.3862
04/07/2017 09:26:09,CLD,$CLD reached a new low of $4.7801
04/07/2017 09:26:06,CDXS,$CDXS reached a new low of $4.125
04/07/2017 09:26:00,CLNT,$CLNT reached a new low of $8.87
04/07/2017 09:25:51,DRYS,$DRYS reached a new low of $0.7634
04/07/2017 09:25:42,RGLS,$RGLS reached a new low of $1.49
04/07/2017 09:25:27,RT,$RT reached a new low of $2.51
04/07/2017 09:25:21,FH,$FH reached a new low of $1.86
04/07/2017 09:25:06,KTOS,$KTOS reached a new low of $7.89
04/07/2017 09:25:06,GSVC,$GSVC reached a new low of $4.45
04/07/2017 09:24:51,CNTF,$CNTF reached a new low of $2.04
04/07/2017 09:24:39,SXE,$SXE reached a new low of $4.0979
04/07/2017 09:24:36,AUPH,$AUPH reached a new low of $7.02
04/07/2017 09:24:36,RIC,$RIC reached a new low of $7.925
04/07/2017 09:24:27,HTGM,$HTGM reached a new low of $6.5156
04/07/2017 09:24:21,CCCR,$CCCR reached a new low of $2.18
04/07/2017 09:24:12,CIDM,$CIDM reached a new low of $1.41
04/07/2017 09:24:06,DSX,$DSX reached a new low of $5.915
04/07/2017 09:23:39,ZX,$ZX reached a new low of $1.72
04/07/2017 09:23:36,CBAY,$CBAY reached a new low of $3.9938
04/07/2017 09:23:30,NVCN,$NVCN reached a new low of $1.6401
04/07/2017 09:23:12,STML,$STML reached a new low of $8.35
04/07/2017 09:23:06,CIA,$CIA reached a new low of $6.945
04/07/2017 09:22:57,SRRA,$SRRA reached a new low of $1.43
04/07/2017 09:22:45,CLNT,$CLNT reached a new low of $8.67
04/07/2017 09:22:45,PES,$PES reached a new low of $4
04/07/2017 09:22:36,DRYS,$DRYS reached a new low of $0.764
04/07/2017 09:22:36,TNDM,$TNDM reached a new low of $1.05
04/07/2017 09:22:27,ATHX,$ATHX reached a new low of $1.49
04/07/2017 09:22:15,DELT,$DELT reached a new low of $1.76
04/07/2017 09:22:15,VLRX,$VLRX reached a new low of $6.12
04/07/2017 09:22:12,CCCL,$CCCL reached a new low of $2.43
04/07/2017 09:21:54,GALT,$GALT reached a new low of $2.58
04/07/2017 09:21:45,UNIS,$UNIS reached a new low of $0.2987
04/07/2017 09:21:39,DHT,$DHT reached a new low of $4.5
04/07/2017 09:21:30,GNC,$GNC reached a new low of $6.61
04/07/2017 09:21:30,NBEV,$NBEV reached a new low of $4.2292
04/07/2017 09:21:21,AUPH,$AUPH reached a new low of $6.98
04/07/2017 09:21:21,AXAS,$AXAS reached a new low of $2.25
04/07/2017 09:21:21,NFEC,$NFEC reached a new low of $1.18
04/07/2017 09:21:15,GOGL,$GOGL reached a new low of $8.64
04/07/2017 09:21:15,RIGL,$RIGL reached a new low of $3.085
04/07/2017 09:21:00,MVIS,$MVIS reached a new low of $2.275
04/07/2017 09:20:42,RT,$RT reached a new low of $2.495
04/07/2017 09:20:36,CCIH,$CCIH reached a new low of $1.515
04/07/2017 09:20:15,SGMO,$SGMO reached a new low of $4.3
04/07/2017 09:20:00,KZ,$KZ reached a new low of $7.42
04/07/2017 09:19:45,SPAR,$SPAR reached a new low of $7.9
04/07/2017 09:19:45,DRNA,$DRNA reached a new low of $3.3
04/07/2017 09:19:42,HTGM,$HTGM reached a new low of $6.5699
04/07/2017 09:19:39,BDSI,$BDSI reached a new low of $1.775
04/07/2017 09:19:39,CLD,$CLD reached a new low of $4.79
04/07/2017 09:19:36,NQ,$NQ reached a new low of $3.9235
04/07/2017 09:19:30,CBK,$CBK reached a new low of $1.31
04/07/2017 09:19:30,CLNT,$CLNT reached a new low of $8.8151
04/07/2017 09:19:27,RELY,$RELY reached a new low of $2.55
04/07/2017 09:19:21,CCCR,$CCCR reached a new low of $2.1101
04/07/2017 09:19:21,DRYS,$DRYS reached a new low of $0.7601
04/07/2017 09:19:12,ATHX,$ATHX reached a new low of $1.495
04/07/2017 09:19:12,MEET,$MEET reached a new low of $5.625
04/07/2017 09:19:06,TNDM,$TNDM reached a new low of $1.05
04/07/2017 09:18:45,MGF,$MGF reached a new low of $4.96
04/07/2017 09:18:42,SB,$SB reached a new low of $2.44
04/07/2017 09:18:27,BASI,$BASI reached a new low of $1.15
04/07/2017 09:18:15,GNC,$GNC reached a new low of $6.6
04/07/2017 09:18:12,CADC,$CADC reached a new low of $3.7008
04/07/2017 09:18:12,CCCL,$CCCL reached a new low of $2.5
04/07/2017 09:18:06,AUPH,$AUPH reached a new low of $6.9699
04/07/2017 09:18:00,UNIS,$UNIS reached a new low of $0.2928
04/07/2017 09:17:51,ESES,$ESES reached a new low of $1.19
04/07/2017 09:17:45,HIX,$HIX reached a new low of $7.26
04/07/2017 09:17:30,QUIK,$QUIK reached a new low of $1.655
04/07/2017 09:17:27,AFMD,$AFMD reached a new low of $2.3243
04/07/2017 09:17:06,BNSO,$BNSO reached a new low of $2.74
04/07/2017 09:17:06,DSX,$DSX reached a new low of $5.915
04/07/2017 09:17:06,NQ,$NQ reached a new low of $3.925
04/07/2017 09:16:57,AXTI,$AXTI reached a new low of $5.85
04/07/2017 09:16:51,NM,$NM reached a new low of $1.91
04/07/2017 09:16:39,CTRV,$CTRV reached a new low of $1.56
04/07/2017 09:16:36,APTO,$APTO reached a new low of $1
04/07/2017 09:16:30,VKTX,$VKTX reached a new low of $1.3809
04/07/2017 09:16:24,ANH,$ANH reached a new low of $5.545
04/07/2017 09:16:21,INAP,$INAP reached a new low of $3.53
04/07/2017 09:16:21,NFEC,$NFEC reached a new low of $1.2301
04/07/2017 09:16:15,CLNT,$CLNT reached a new low of $9.9776
04/07/2017 09:16:15,MVIS,$MVIS reached a new low of $2.25
04/07/2017 09:16:12,RT,$RT reached a new low of $2.485
04/07/2017 09:16:06,CCCR,$CCCR reached a new low of $2.25
04/07/2017 09:16:06,DRYS,$DRYS reached a new low of $0.7693
04/07/2017 09:15:30,PEIX,$PEIX reached a new low of $6.95
04/07/2017 09:15:12,CCCL,$CCCL reached a new low of $2.63
04/07/2017 09:15:12,GLBS,$GLBS reached a new low of $3.67
04/07/2017 09:14:42,TRPX,$TRPX reached a new low of $7.5
04/07/2017 09:14:30,NVCN,$NVCN reached a new low of $1.6575
04/07/2017 09:14:21,AUPH,$AUPH reached a new low of $6.94
04/07/2017 09:14:00,ABEO,$ABEO reached a new low of $4.975
04/07/2017 09:13:54,ONVO,$ONVO reached a new low of $3.04
04/07/2017 09:13:54,PER,$PER reached a new low of $3.075
04/07/2017 09:13:51,BKT,$BKT reached a new low of $6.2337
04/07/2017 09:13:45,NAKD,$NAKD reached a new low of $2.26
04/07/2017 09:13:42,CSTM,$CSTM reached a new low of $5.975
04/07/2017 09:13:42,RGLS,$RGLS reached a new low of $1.475
04/07/2017 09:13:39,CLD,$CLD reached a new low of $4.81
04/07/2017 09:13:36,BNSO,$BNSO reached a new low of $2.78
04/07/2017 09:13:15,DELT,$DELT reached a new low of $1.7701
04/07/2017 09:13:06,CCCR,$CCCR reached a new low of $2.3701
04/07/2017 09:13:00,CETC,$CETC reached a new low of $4.76
04/07/2017 09:12:57,ATHX,$ATHX reached a new low of $1.495
04/07/2017 09:12:57,OCN,$OCN reached a new low of $5.3306
04/07/2017 09:12:51,CPRX,$CPRX reached a new low of $1.7396
04/07/2017 09:12:45,CLNT,$CLNT reached a new low of $10.26
04/07/2017 09:12:36,KTOS,$KTOS reached a new low of $7.9
04/07/2017 09:12:30,DRNA,$DRNA reached a new low of $3.3
04/07/2017 09:12:21,DRYS,$DRYS reached a new low of $0.7642
04/07/2017 09:12:15,CNAT,$CNAT reached a new low of $5.68
04/07/2017 09:12:15,UNIS,$UNIS reached a new low of $0.2853
04/07/2017 09:12:06,IGR,$IGR reached a new low of $7.58
04/07/2017 09:12:00,URRE,$URRE reached a new low of $1.87
04/07/2017 09:11:45,GNC,$GNC reached a new low of $6.59
04/07/2017 09:11:42,CCCL,$CCCL reached a new low of $2.5226
04/07/2017 09:11:15,SORL,$SORL reached a new low of $4.3
04/07/2017 09:10:36,ZIXI,$ZIXI reached a new low of $4.91
04/07/2017 09:10:36,ACRX,$ACRX reached a new low of $2.8
04/07/2017 09:10:30,LLNW,$LLNW reached a new low of $2.49
04/07/2017 09:10:12,IPI,$IPI reached a new low of $1.805
04/07/2017 09:09:57,HTGM,$HTGM reached a new low of $6.6184
04/07/2017 09:09:42,RGLS,$RGLS reached a new low of $1.45
04/07/2017 09:09:30,CLNT,$CLNT reached a new low of $9.9
04/07/2017 09:09:21,BNSO,$BNSO reached a new low of $2.74
04/07/2017 09:09:21,CCCR,$CCCR reached a new low of $2.37
04/07/2017 09:09:21,DSX,$DSX reached a new low of $5.89
04/07/2017 09:09:21,INAP,$INAP reached a new low of $3.5601
04/07/2017 09:09:06,CLNE,$CLNE reached a new low of $2.535
04/07/2017 09:08:51,DRYS,$DRYS reached a new low of $0.7592
04/07/2017 09:08:42,AXTI,$AXTI reached a new low of $5.875
04/07/2017 09:08:30,ABEO,$ABEO reached a new low of $5.025
04/07/2017 09:08:21,AUPH,$AUPH reached a new low of $6.98
04/07/2017 09:08:00,DS,$DS reached a new low of $4.045
04/07/2017 09:07:57,MEET,$MEET reached a new low of $5.62
04/07/2017 09:07:42,OCN,$OCN reached a new low of $5.345
04/07/2017 09:07:36,LEDS,$LEDS reached a new low of $3.37
04/07/2017 09:07:30,SRNE,$SRNE reached a new low of $2.975
04/07/2017 09:06:45,CETC,$CETC reached a new low of $4.9306
04/07/2017 09:06:42,EXG,$EXG reached a new low of $8.651
04/07/2017 09:06:27,NEPT,$NEPT reached a new low of $1.02
04/07/2017 09:06:24,FCEL,$FCEL reached a new low of $1.575
04/07/2017 09:06:15,CLNT,$CLNT reached a new low of $10
04/07/2017 09:06:15,CTSO,$CTSO reached a new low of $4.6
04/07/2017 09:06:12,AMBR,$AMBR reached a new low of $7
04/07/2017 09:06:12,KOPN,$KOPN reached a new low of $3.8275
04/07/2017 09:06:06,CCCR,$CCCR reached a new low of $2.21
04/07/2017 09:05:57,GENE,$GENE reached a new low of $1.15
04/07/2017 09:05:45,PNNT,$PNNT reached a new low of $8.005
04/07/2017 09:05:42,CCCL,$CCCL reached a new low of $2.6
04/07/2017 09:05:21,AUPH,$AUPH reached a new low of $7.02
04/07/2017 09:05:21,DRYS,$DRYS reached a new low of $0.76
